z(cm)	  Dose(mGy)	(O14)Con.	(C10)Con.	(N13)Con.	(C11)Con.	(O15)Con.	tot.con.(1/cm3)
 0.1	 2.351e-02	    56.31	    24.80	     3.28	    10.12	    10.98	  105.62
 0.2	 2.376e-02	    58.41	    25.66	     3.09	    12.06	     9.99	  109.34
 0.3	 2.396e-02	    58.79	    26.42	     3.31	    10.60	    10.25	  109.47
 0.4	 2.412e-02	    58.35	    26.10	     3.85	    10.92	    11.14	  110.52
 0.5	 2.426e-02	    59.78	    24.19	     2.67	    10.79	    11.11	  108.58
 0.6	 2.439e-02	    60.32	    27.18	     3.02	    10.85	     9.84	  111.31
 0.7	 2.451e-02	    57.96	    27.66	     3.41	    11.90	     9.71	  110.74
 0.8	 2.462e-02	    60.61	    26.52	     3.25	    11.33	    10.66	  112.46
 0.9	 2.472e-02	    59.59	    24.92	     2.83	    10.85	    10.95	  109.21
 1.0	 2.482e-02	    59.87	    27.09	     2.64	    10.47	     9.52	  109.66
 1.1	 2.491e-02	    60.48	    25.88	     3.06	    10.09	     9.52	  109.18
 1.2	 2.500e-02	    61.27	    27.44	     2.99	    12.06	     9.99	  113.89
 1.3	 2.509e-02	    61.27	    25.75	     2.74	    11.20	    11.71	  112.78
 1.4	 2.517e-02	    60.96	    26.74	     3.34	    11.71	    10.50	  113.38
 1.5	 2.527e-02	    58.22	    25.37	     3.15	    11.01	    10.31	  108.23
 1.6	 2.535e-02	    62.77	    24.92	     3.60	    10.15	    10.19	  111.76
 1.7	 2.542e-02	    61.53	    25.27	     3.37	    11.59	    10.41	  112.27
 1.8	 2.550e-02	    60.51	    25.69	     3.02	    12.54	     9.90	  111.70
 1.9	 2.556e-02	    62.13	    25.34	     3.66	    11.27	    10.35	  112.84
 2.0	 2.566e-02	    62.10	    25.66	     3.25	    12.00	    10.09	  113.16
 2.1	 2.571e-02	    63.60	    24.92	     3.31	     9.84	    10.25	  112.14
 2.2	 2.579e-02	    61.34	    26.74	     3.34	    10.66	    11.14	  113.57
 2.3	 2.587e-02	    62.13	    26.04	     3.25	    12.13	    11.11	  114.94
 2.4	 2.594e-02	    60.70	    26.71	     3.53	    10.95	    10.09	  112.14
 2.5	 2.601e-02	    62.17	    25.59	     3.06	    10.76	    10.28	  111.95
 2.6	 2.608e-02	    63.18	    26.32	     3.31	    11.75	    10.89	  115.55
 2.7	 2.614e-02	    61.78	    25.85	     3.18	    10.82	    10.98	  112.68
 2.8	 2.623e-02	    59.84	    26.45	     2.96	    11.90	    10.70	  112.05
 2.9	 2.630e-02	    62.87	    26.36	     3.66	    12.80	    10.06	  115.80
 3.0	 2.636e-02	    61.53	    25.91	     3.21	    10.03	    10.82	  111.70
 3.1	 2.640e-02	    61.15	    25.72	     2.77	    10.66	    10.44	  110.96
