 Dose	 Total Concentr.	(O15)Concentr.	Statistics
 (mGy)	(1/cm3)	(1/cm3)
 5.359e-02	   71.87	   61.88	 5.00e+06
 2.143e-01	  288.42	  247.01	 2.00e+07
 3.536e-01	  474.63	  402.79	 3.30e+07
 4.500e-01	  603.39	  511.75	 4.20e+07
 8.891e-01	 1189.94	 1010.89	 8.30e+07
 1.500e+00	 2013.03	 1693.92	 1.40e+08
 1.821e+00	 2447.77	 2049.47	 1.70e+08
 2.142e+00	 2879.88	 2408.84	 2.00e+08
 2.463e+00	 3310.74	 2771.21	 2.30e+08
 2.731e+00	 3674.92	 3076.98	 2.55e+08
 2.999e+00	 4034.58	 3377.46	 2.80e+08
 3.320e+00	 4465.96	 3736.71	 3.10e+08
 3.642e+00	 4897.01	 4100.50	 3.40e+08
 4.070e+00	 5472.26	 4364.70	 3.80e+08
 4.713e+00	 6333.54	 5090.38	 4.40e+08
 5.195e+00	 6978.57	 5631.54	 4.85e+08
 5.355e+00	 7195.08	 5811.20	 5.00e+08
