 Dose	 Total Concentr.	(O15)Concentr.	Dose PeakPos.	Delta	Statistics
 5.359e-02	   71.87	   61.88	     276	      12	       6	 5.00e+06
 1.072e-01	  143.72	  122.23	     276	      12	       7	 1.00e+07
 1.607e-01	  215.30	  184.65	     276	       7	       7	 1.50e+07
 2.143e-01	  288.42	  247.01	     276	       7	       7	 2.00e+07
 2.679e-01	  359.88	  305.99	     276	       9	       7	 2.50e+07
 3.214e-01	  431.21	  366.25	     276	       9	       7	 3.00e+07
 3.536e-01	  474.63	  402.79	     276	       9	       7	 3.30e+07
 3.857e-01	  517.16	  442.67	     276	       9	       7	 3.60e+07
 4.179e-01	  560.77	  477.82	     276	       9	       7	 3.90e+07
 4.500e-01	  603.39	  511.75	     276	       9	       7	 4.20e+07
 4.821e-01	  647.79	  548.10	     276	       9	       7	 4.50e+07
 6.856e-01	  921.19	  780.15	     276	       9	       7	 6.40e+07
 8.891e-01	 1189.94	 1010.89	     276	       9	       7	 8.30e+07
 1.093e+00	 1465.98	 1241.28	     276	       9	       7	 1.02e+08
 1.296e+00	 1739.88	 1469.42	     276	       9	       7	 1.21e+08
 1.500e+00	 2013.03	 1693.92	     276	       9	       7	 1.40e+08
 1.607e+00	 2158.56	 1813.13	     276	       9	       7	 1.50e+08
 1.714e+00	 2305.58	 1932.91	     276	       9	       7	 1.60e+08
 1.821e+00	 2447.77	 2049.47	     276	       9	       7	 1.70e+08
 1.928e+00	 2594.10	 2168.17	     276	       9	       7	 1.80e+08
 2.035e+00	 2735.27	 2288.97	     276	       9	       7	 1.90e+08
 2.142e+00	 2879.88	 2408.84	     276	       9	       7	 2.00e+08
 2.249e+00	 3023.79	 2531.65	     276	       9	       7	 2.10e+08
 2.356e+00	 3166.52	 2649.14	     276	       9	       7	 2.20e+08
 2.463e+00	 3310.74	 2771.21	     276	       9	       7	 2.30e+08
 2.571e+00	 3451.06	 2893.53	     276	       9	       7	 2.40e+08
 2.624e+00	 3525.67	 2954.40	     276	       9	       7	 2.45e+08
 2.731e+00	 3674.92	 3076.98	     276	       9	       7	 2.55e+08
 2.838e+00	 3819.85	 3195.55	     276	       9	       7	 2.65e+08
 2.945e+00	 3960.26	 3315.55	     276	       9	       7	 2.75e+08
 2.999e+00	 4034.58	 3377.46	     276	       9	       7	 2.80e+08
 3.106e+00	 4178.20	 3498.64	     276	       9	       7	 2.90e+08
 3.213e+00	 4323.19	 3619.89	     276	       9	       7	 3.00e+08
 3.320e+00	 4465.96	 3736.71	     276	       9	       7	 3.10e+08
 3.427e+00	 4609.54	 3855.91	     276	       9	       7	 3.20e+08
 3.535e+00	 4754.34	 3981.20	     276	       9	       7	 3.30e+08
 3.642e+00	 4897.01	 4100.50	     276	       9	       7	 3.40e+08
 3.856e+00	 5183.30	 4344.68	     276	       9	       7	 3.60e+08
 4.059e+00	 5457.49	 4353.02	     276	       9	       7	 3.79e+08
 4.070e+00	 5472.26	 4364.70	     276	       9	       7	 3.80e+08
 4.284e+00	 5757.12	 4609.04	     276	       9	       7	 4.00e+08
 4.499e+00	 6044.49	 4847.51	     276	       9	       7	 4.20e+08
 4.713e+00	 6333.54	 5090.38	     276	       9	       7	 4.40e+08
 4.873e+00	 6549.42	 5270.36	     276	       9	       7	 4.55e+08
 5.034e+00	 6764.76	 5450.68	     276	       9	       7	 4.70e+08
 5.195e+00	 6978.57	 5631.54	     276	       9	       7	 4.85e+08
 5.355e+00	 7195.08	 5811.20	     276	       9	       7	 5.00e+08
